timestamp,filter,x,y,theta,P_xx,P_yy,P_tt
1299.570000,KF,-0.000361,-0.002192,0.001410,0.190283,0.190283,0.000000
1299.570000,EKF,0.000000,0.000000,-0.000445,1.420084,1.420084,0.027017
1299.580000,KF,-0.000347,-0.002297,0.001484,0.194160,0.194160,0.000000
1299.580000,EKF,0.000000,0.000000,0.009172,1.430086,1.430086,0.027017
1299.590000,KF,-0.000334,-0.002390,0.001557,0.198100,0.198100,0.000000
1299.590000,EKF,0.000000,0.000000,0.007114,1.440088,1.440088,0.027017
1299.590000,Odom,-0.001495,-0.001083,0.001629,0.000010,0.000010,1000000000000.000000
1299.600000,KF,-0.000322,-0.002474,0.001629,0.202103,0.202103,0.000000
1299.600000,EKF,0.000000,0.000000,0.003495,1.450090,1.450090,0.027017
1299.600000,PF,-0.373750,0.439394,-2.482126,0.000000,0.000000,0.000000
1299.610000,KF,-0.000307,-0.002546,0.001699,0.206170,0.206170,0.000000
1299.610000,EKF,0.000000,0.000000,0.001358,1.460092,1.460092,0.027017
1299.620000,KF,-0.000296,-0.002609,0.001766,0.210303,0.210303,0.000000
1299.620000,EKF,0.000000,0.000000,-0.003822,1.470094,1.470094,0.027017
1299.630000,KF,-0.000287,-0.002665,0.001830,0.214503,0.214503,0.000000
1299.630000,EKF,0.000000,0.000000,0.002059,1.480096,1.480096,0.027017
1299.630000,Odom,-0.001405,-0.001163,0.001888,0.000010,0.000010,1000000000000.000000
1299.640000,KF,-0.000284,-0.002713,0.001888,0.218770,0.218770,0.000000
1299.640000,EKF,0.000000,0.000000,0.008024,1.490098,1.490098,0.027017
1299.650000,KF,-0.000285,-0.002749,0.001935,0.223105,0.223105,0.000000
1299.650000,EKF,0.000000,0.000000,-0.000749,1.500100,1.500100,0.027017
1299.660000,KF,-0.000288,-0.002773,0.001969,0.227510,0.227510,0.000000
1299.660000,EKF,0.000000,0.000000,-0.005241,1.510102,1.510102,0.027017
1299.660000,Odom,-0.001445,-0.001106,0.002310,0.000010,0.000010,1000000000000.000000
1299.670000,EKF,0.000000,0.000000,0.005511,1.520104,1.520104,0.027017
1299.670000,KF,-0.000292,-0.002784,0.002310,0.231986,0.231986,0.000000
1299.680000,KF,-0.000388,-0.002785,0.002424,0.236533,0.236533,0.000000
1299.680000,EKF,0.000000,0.000000,0.005620,1.530106,1.530106,0.027017
1299.690000,KF,-0.000436,-0.002775,0.002469,0.241152,0.241152,0.000000
1299.690000,EKF,0.000000,0.000000,0.003927,1.540108,1.540108,0.027017
1299.690000,Odom,-0.001467,-0.000964,0.002476,0.000010,0.000010,1000000000000.000000
1299.700000,KF,-0.000465,-0.002757,0.002476,0.245845,0.245845,0.000000
