timestamp,filter,x,y,theta,P_xx,P_yy,P_tt
1303.310000,EKF,0.000000,0.000000,0.014356,1.043452,1.043452,0.002188
1303.320000,KF,0.000000,0.000000,0.006362,2.224594,2.224594,2.224594
1303.320000,EKF,0.000000,0.000000,0.014070,1.043554,1.043554,0.002188
1303.330000,KF,0.000000,0.000000,0.005800,2.235067,2.235067,2.235067
1303.330000,EKF,0.000000,0.000000,0.014153,1.043656,1.043656,0.002188
1303.330000,Odom,0.003332,-0.000608,0.011576,0.000010,0.000010,1000000000000.000000
1303.340000,KF,0.000000,0.000000,0.005764,2.245569,2.245569,2.245569
1303.340000,EKF,0.000000,0.000000,0.013472,1.043758,1.043758,0.002188
1303.350000,KF,0.000000,0.000000,0.005214,2.256100,2.256100,2.256100
1303.350000,EKF,0.000000,0.000000,0.014184,1.043860,1.043860,0.002188
1303.360000,EKF,0.000000,0.000000,0.014389,1.043962,1.043962,0.002188
1303.360000,KF,0.000000,0.000000,0.006236,2.266659,2.266659,2.266659
1303.360000,Odom,0.003316,-0.000694,0.011457,0.000010,0.000010,1000000000000.000000
1303.370000,KF,0.000000,0.000000,0.006452,2.277246,2.277246,2.277246
1303.370000,EKF,0.000000,0.000000,0.013992,1.044064,1.044064,0.002188
1303.380000,KF,0.000000,0.000000,0.006545,2.287862,2.287862,2.287862
1303.380000,EKF,0.000000,0.000000,0.012505,1.044166,1.044166,0.002188
1303.390000,KF,0.000000,0.000000,0.006384,2.298507,2.298507,2.298507
1303.390000,EKF,0.000000,0.000000,0.013589,1.044268,1.044268,0.002188
1303.390000,Odom,0.003381,-0.000763,0.011537,0.000010,0.000010,1000000000000.000000
1303.400000,KF,0.000000,0.000000,0.006016,2.309181,2.309181,2.309181
1303.400000,EKF,0.000000,0.000000,0.014065,1.044370,1.044370,0.002188
1303.400000,PF,-7.382266,-0.877047,-1.808028,0.000000,0.000000,0.000000
1303.410000,KF,0.000000,0.000000,0.006378,2.319883,2.319883,2.319883
1303.410000,EKF,0.000000,0.000000,0.013500,1.044472,1.044472,0.002188
1303.420000,KF,0.000000,0.000000,0.007269,2.330614,2.330614,2.330614
1303.420000,EKF,0.000000,0.000000,0.014034,1.044574,1.044574,0.002188
1303.430000,KF,0.000000,0.000000,0.007194,2.341374,2.341374,2.341374
1303.430000,EKF,0.000000,0.000000,0.013786,1.044676,1.044676,0.002188
1303.430000,Odom,0.003485,-0.000928,0.011815,0.000010,0.000010,1000000000000.000000
1303.440000,KF,0.000000,0.000000,0.007110,2.352162,2.352162,2.352162
1303.440000,EKF,0.000000,0.000000,0.014767,1.044778,1.044778,0.002188
1303.450000,KF,0.000000,0.000000,0.007553,2.362979,2.362979,2.362979
1303.450000,EKF,0.000000,0.000000,0.014378,1.044880,1.044880,0.002188
1303.460000,KF,0.000000,0.000000,0.007782,2.373825,2.373825,2.373825
1303.460000,EKF,0.000000,0.000000,0.015131,1.044982,1.044982,0.002188
1303.460000,Odom,0.003504,-0.001004,0.011829,0.000010,0.000010,1000000000000.000000
1303.470000,KF,0.000000,0.000000,0.008482,2.384700,2.384700,2.384700
1303.470000,EKF,0.000000,0.000000,0.013210,1.045084,1.045084,0.002188
1303.480000,KF,0.000000,0.000000,0.007850,2.395604,2.395604,2.395604
1303.480000,EKF,0.000000,0.000000,0.013417,1.045186,1.045186,0.002188
1303.490000,KF,0.000000,0.000000,0.007477,2.406536,2.406536,2.406536
1303.490000,EKF,0.000000,0.000000,0.013652,1.045288,1.045288,0.002188
1303.490000,Odom,0.003543,-0.001013,0.011819,0.000010,0.000010,1000000000000.000000
1303.500000,EKF,0.000000,0.000000,0.011915,1.045390,1.045390,0.002188
1303.500000,KF,0.000000,0.000000,0.007903,2.417498,2.417498,2.417498
1303.510000,KF,0.000000,0.000000,0.007609,2.428488,2.428488,2.428488
1303.510000,EKF,0.000000,0.000000,0.011263,1.045492,1.045492,0.002188
1303.520000,KF,0.000000,0.000000,0.007941,2.439507,2.439507,2.439507
1303.520000,EKF,0.000000,0.000000,0.011532,1.045594,1.045594,0.002188
1303.530000,KF,0.000000,0.000000,0.007851,2.450555,2.450555,2.450555
1303.530000,EKF,0.000000,0.000000,0.011893,1.045696,1.045696,0.002188
1303.530000,Odom,0.003646,-0.000952,0.012136,0.000010,0.000010,1000000000000.000000
1303.540000,KF,0.000000,0.000000,0.008668,2.461632,2.461632,2.461632
1303.540000,EKF,0.000000,0.000000,0.012437,1.045798,1.045798,0.002188
1303.550000,KF,0.000000,0.000000,0.008659,2.472738,2.472738,2.472738
1303.550000,EKF,0.000000,0.000000,0.013633,1.045900,1.045900,0.002188
1303.560000,KF,0.000000,0.000000,0.008834,2.483873,2.483873,2.483873
1303.560000,EKF,0.000000,0.000000,0.012926,1.046002,1.046002,0.002188
1303.560000,Odom,0.003713,-0.000865,0.012210,0.000010,0.000010,1000000000000.000000
1303.570000,EKF,0.000000,0.000000,0.012569,1.046104,1.046104,0.002188
1303.570000,KF,0.000000,0.000000,0.008545,2.495037,2.495037,2.495037
1303.580000,KF,0.000000,0.000000,0.008869,2.506230,2.506230,2.506230
1303.580000,EKF,0.000000,0.000000,0.012311,1.046206,1.046206,0.002188
1303.590000,KF,0.000000,0.000000,0.009189,2.517452,2.517452,2.517452
1303.590000,EKF,0.000000,0.000000,0.013457,1.046308,1.046308,0.002188
1303.590000,Odom,0.003724,-0.000802,0.012136,0.000010,0.000010,1000000000000.000000
1303.600000,KF,0.000000,0.000000,0.008824,2.528704,2.528704,2.528704
1303.600000,EKF,0.000000,0.000000,0.014208,1.046410,1.046410,0.002188
1303.600000,PF,-7.384780,-0.869457,-1.795436,0.000000,0.000000,0.000000
1303.610000,KF,0.000000,0.000000,0.008206,2.539984,2.539984,2.539984
1303.610000,EKF,0.000000,0.000000,0.013320,1.046512,1.046512,0.002188
1303.620000,KF,0.000000,0.000000,0.008988,2.551293,2.551293,2.551293
1303.620000,EKF,0.000000,0.000000,0.013076,1.046614,1.046614,0.002188
1303.630000,KF,0.000000,0.000000,0.009422,2.562632,2.562632,2.562632
1303.630000,EKF,0.000000,0.000000,0.012729,1.046716,1.046716,0.002188
1303.630000,Odom,0.003844,-0.001188,0.012674,0.000010,0.000010,1000000000000.000000
1303.640000,EKF,0.000000,0.000000,0.012322,1.046818,1.046818,0.002188
1303.640000,KF,0.000000,0.000000,0.009250,2.573999,2.573999,2.573999
1303.650000,KF,0.000000,0.000000,0.008774,2.585396,2.585396,2.585396
1303.650000,EKF,0.000000,0.000000,0.012559,1.046920,1.046920,0.002188
1303.660000,KF,0.000000,0.000000,0.009656,2.596822,2.596822,2.596822
1303.660000,EKF,0.000000,0.000000,0.013114,1.047022,1.047022,0.002188
1303.660000,Odom,0.003953,-0.001438,0.013001,0.000010,0.000010,1000000000000.000000
1303.670000,KF,0.000000,0.000000,0.010073,2.608277,2.608277,2.608277
1303.670000,EKF,0.000000,0.000000,0.011941,1.047124,1.047124,0.002188
1303.680000,EKF,0.000000,0.000000,0.011845,1.047226,1.047226,0.002188
1303.680000,KF,0.000000,0.000000,0.010058,2.619762,2.619762,2.619762
1303.690000,KF,0.000000,0.000000,0.010741,2.631275,2.631275,2.631275
1303.690000,EKF,0.000000,0.000000,0.010690,1.047328,1.047328,0.002188
1303.690000,Odom,0.004059,-0.001593,0.013333,0.000010,0.000010,1000000000000.000000
1303.700000,KF,0.000000,0.000000,0.010667,2.642818,2.642818,2.642818
1303.700000,EKF,0.000000,0.000000,0.010930,1.047430,1.047430,0.002188
